participant condition voxel_id BOLD
0 0 0 0.9307619348967396
0 1 0 0.20202149989028226
1 0 0 0.6709588445208843
1 1 0 0.03856738896313634
2 0 0 0.7850291072451449
2 1 0 0.6893562715519125
3 0 0 1.0758647072995595
3 1 0 0.14232437954517926
4 0 0 0.5985150441664415
4 1 0 0.09164734654379306
5 0 0 0.20692547633889158
5 1 0 -0.04597136748797888
6 0 0 0.01951409757804364
6 1 0 0.4457218061133993
7 0 0 0.1991418935569008
7 1 0 0.8195983075941047
8 0 0 0.5306337688146366
8 1 0 0.3025238761535142
9 0 0 0.23182696702687686
9 1 0 -0.6314548960597551
10 0 0 0.4281470040376013
10 1 0 0.6460895762045089
11 0 0 1.0874228042211944
11 1 0 0.16323391849262373
12 0 0 0.46606227034792996
12 1 0 0.2581125549042084
13 0 0 0.09205776130076161
13 1 0 -0.033330146791479436
14 0 0 -0.003990507591422664
14 1 0 -0.031450602441872685
15 0 0 0.7205578047433316
15 1 0 0.2858935495454164
16 0 0 -0.1227283867421836
16 1 0 0.3734840992126647
17 0 0 0.715320296583241
17 1 0 0.32277698749387923
18 0 0 0.6722454538216063
18 1 0 1.0368831388613016
19 0 0 0.6847632498393021
19 1 0 -0.13826192129448095
20 0 0 0.19331442411417402
20 1 0 -0.16441487187417772
21 0 0 0.6542862813795128
21 1 0 0.4120508511209056
22 0 0 0.662231926014603
22 1 0 -0.026614304812405287
23 0 0 0.6319809808458693
23 1 0 -0.27520809073857627
24 0 0 0.42297821927954676
24 1 0 -0.001200870957249645
25 0 0 0.3801683627620563
25 1 0 0.1677661208774634
26 0 0 0.6097850795114182
26 1 0 -0.050912231881462024
27 0 0 0.5160066532662755
27 1 0 -0.17798472024693043
28 0 0 0.35168905360927444
28 1 0 0.06914064084164993
29 0 0 0.7218107136516158
29 1 0 0.6102097246703022
0 0 1 0.9783459458916296
0 1 1 0.7904832535458162
1 0 1 0.5121608109910656
1 1 1 0.10676813494165453
2 0 1 0.5182247424110439
2 1 1 0.9416170691068032
3 0 1 1.6181709764387857
3 1 1 -0.1937337541773888
4 0 1 0.738267604116987
4 1 1 0.45167570331615636
5 0 1 0.4531796824377367
5 1 1 0.46411945085226103
6 0 1 0.09110932825655581
6 1 1 0.3474746479699046
7 0 1 0.62953975900405
7 1 1 0.839548005098855
8 0 1 0.80865866703487
8 1 1 0.2551602058487158
9 0 1 0.6383660378610644
9 1 1 -0.17757211823141045
10 0 1 0.6116643795977982
10 1 1 0.5035674760450708
11 0 1 0.655353757031441
11 1 1 -0.2518578960584699
12 0 1 -0.25810781010692746
12 1 1 -0.3595884364575079
13 0 1 0.32628924092608236
13 1 1 0.2621359569561375
14 0 1 0.09818742674825717
14 1 1 0.31549243706469654
15 0 1 0.9790583925296533
15 1 1 0.36917607376870154
16 0 1 -0.058715681050164614
16 1 1 0.35000112051170457
17 0 1 0.9458636964170545
17 1 1 0.34332496821303954
18 0 1 0.9317315579588638
18 1 1 1.00907604083396
19 0 1 0.09965289823484726
19 1 1 -0.5355934983788905
20 0 1 0.05143312341240661
20 1 1 0.45757025775509896
21 0 1 0.12693223192342543
21 1 1 0.5048806610942235
22 0 1 -0.27843478077008527
22 1 1 0.04487057176426528
23 0 1 0.6854965621224086
23 1 1 0.012657033893087323
24 0 1 0.49422328486271183
24 1 1 0.774991239323294
25 0 1 0.7617307056406536
25 1 1 0.45824929425227084
26 0 1 0.5335682537022838
26 1 1 1.1414699660720793
27 0 1 0.47461596067959194
27 1 1 -0.1066645044733387
